<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
US1.MSFT,0,12/12/16,09:30:00,61.820000000,100
US1.MSFT,0,12/12/16,09:30:02,61.830000000,100
US1.MSFT,0,12/12/16,09:30:02,61.850000000,100
US1.MSFT,0,12/12/16,09:30:03,61.880000000,200
US1.MSFT,0,12/12/16,09:30:03,61.880000000,300
US1.MSFT,0,12/12/16,09:30:03,61.880000000,100
US1.MSFT,0,12/12/16,09:30:04,61.860000000,100
US1.MSFT,0,12/12/16,09:30:04,61.860000000,100
US1.MSFT,0,12/12/16,09:30:05,61.860000000,200
US1.MSFT,0,12/12/16,09:30:07,61.850000000,100
US1.MSFT,0,12/12/16,09:30:07,61.850000000,100
US1.MSFT,0,12/12/16,09:30:07,61.850000000,100
US1.MSFT,0,12/12/16,09:30:07,61.850000000,100
US1.MSFT,0,12/12/16,09:30:07,61.850000000,100
US1.MSFT,0,12/12/16,09:30:07,61.850000000,100
US1.MSFT,0,12/12/16,09:30:07,61.850000000,100
US1.MSFT,0,12/12/16,09:30:08,61.850000000,100
US1.MSFT,0,12/12/16,09:30:08,61.850000000,100
US1.MSFT,0,12/12/16,09:30:10,61.860000000,100
US1.MSFT,0,12/12/16,09:30:10,61.860000000,100
US1.MSFT,0,12/12/16,09:30:10,61.870000000,100
US1.MSFT,0,12/12/16,09:30:10,61.870000000,100
US1.MSFT,0,12/12/16,09:30:10,61.850000000,100
US1.MSFT,0,12/12/16,09:30:10,61.850000000,100
US1.MSFT,0,12/12/16,09:30:10,61.850000000,100
US1.MSFT,0,12/12/16,09:30:10,61.860000000,200
US1.MSFT,0,12/12/16,09:30:11,61.850000000,100
US1.MSFT,0,12/12/16,09:30:11,61.850000000,100
US1.MSFT,0,12/12/16,09:30:12,61.840000000,100
US1.MSFT,0,12/12/16,09:30:12,61.840000000,100
US1.MSFT,0,12/12/16,09:30:12,61.840000000,100
US1.MSFT,0,12/12/16,09:30:16,61.810000000,100
US1.MSFT,0,12/12/16,09:30:16,61.810000000,100
US1.MSFT,0,12/12/16,09:30:17,61.815000000,100
US1.MSFT,0,12/12/16,09:30:17,61.815000000,100
US1.MSFT,0,12/12/16,09:30:17,61.815000000,200
US1.MSFT,0,12/12/16,09:30:17,61.815000000,100
US1.MSFT,0,12/12/16,09:30:17,61.815000000,100
US1.MSFT,0,12/12/16,09:30:17,61.815000000,100
US1.MSFT,0,12/12/16,09:30:17,61.815000000,200
US1.MSFT,0,12/12/16,09:30:17,61.815000000,100
US1.MSFT,0,12/12/16,09:30:17,61.815000000,100
US1.MSFT,0,12/12/16,09:30:17,61.815000000,100
US1.MSFT,0,12/12/16,09:30:17,61.815000000,100
US1.MSFT,0,12/12/16,09:30:17,61.820000000,100
US1.MSFT,0,12/12/16,09:30:20,61.810000000,100
US1.MSFT,0,12/12/16,09:30:20,61.810000000,100
US1.MSFT,0,12/12/16,09:30:20,61.810000000,100
US1.MSFT,0,12/12/16,09:30:20,61.810000000,100
US1.MSFT,0,12/12/16,09:30:28,61.770000000,100
US1.MSFT,0,12/12/16,09:30:30,61.770000000,100
US1.MSFT,0,12/12/16,09:30:30,61.760000000,100
US1.MSFT,0,12/12/16,09:30:31,61.760000000,100
US1.MSFT,0,12/12/16,09:30:31,61.750000000,100
US1.MSFT,0,12/12/16,09:30:33,61.770000000,100
US1.MSFT,0,12/12/16,09:30:37,61.760000000,100
US1.MSFT,0,12/12/16,09:30:37,61.760000000,100
US1.MSFT,0,12/12/16,09:30:39,61.770000000,100
US1.MSFT,0,12/12/16,09:30:43,61.760000000,100
US1.MSFT,0,12/12/16,09:30:44,61.760000000,100
US1.MSFT,0,12/12/16,09:30:46,61.760000000,200
US1.MSFT,0,12/12/16,09:30:48,61.760000000,100
US1.MSFT,0,12/12/16,09:30:48,61.760000000,100
US1.MSFT,0,12/12/16,09:30:49,61.760000000,100
US1.MSFT,0,12/12/16,09:30:49,61.760000000,100
US1.MSFT,0,12/12/16,09:30:49,61.750000000,100
US1.MSFT,0,12/12/16,09:30:49,61.750000000,100
US1.MSFT,0,12/12/16,09:30:49,61.760000000,100
US1.MSFT,0,12/12/16,09:30:51,61.770000000,200
US1.MSFT,0,12/12/16,09:30:53,61.770000000,300
US1.MSFT,0,12/12/16,09:30:53,61.780000000,100
US1.MSFT,0,12/12/16,09:30:53,61.780000000,200
US1.MSFT,0,12/12/16,09:30:53,61.780000000,151
US1.MSFT,0,12/12/16,09:30:53,61.780000000,349
US1.MSFT,0,12/12/16,09:30:54,61.790000000,140
US1.MSFT,0,12/12/16,09:30:54,61.790000000,500
US1.MSFT,0,12/12/16,09:30:54,61.790000000,100
US1.MSFT,0,12/12/16,09:30:54,61.800000000,100
US1.MSFT,0,12/12/16,09:30:55,61.820000000,100
US1.MSFT,0,12/12/16,09:30:58,61.860000000,100
US1.MSFT,0,12/12/16,09:30:58,61.860000000,100
US1.MSFT,0,12/12/16,09:30:58,61.860000000,100
US1.MSFT,0,12/12/16,09:30:58,61.860000000,100
US1.MSFT,0,12/12/16,09:31:00,61.850000000,100
US1.MSFT,0,12/12/16,09:31:00,61.850000000,100
US1.MSFT,0,12/12/16,09:31:00,61.840000000,100
US1.MSFT,0,12/12/16,09:31:00,61.850000000,100
US1.MSFT,0,12/12/16,09:31:00,61.850000000,100
US1.MSFT,0,12/12/16,09:31:02,61.850000000,100
US1.MSFT,0,12/12/16,09:31:02,61.850000000,100
US1.MSFT,0,12/12/16,09:31:03,61.840000000,100
US1.MSFT,0,12/12/16,09:31:08,61.890000000,100
US1.MSFT,0,12/12/16,09:31:08,61.900000000,100
US1.MSFT,0,12/12/16,09:31:08,61.910000000,100
US1.MSFT,0,12/12/16,09:31:08,61.910000000,100
US1.MSFT,0,12/12/16,09:31:11,61.910000000,100
US1.MSFT,0,12/12/16,09:31:11,61.900000000,100
US1.MSFT,0,12/12/16,09:31:11,61.900000000,114
US1.MSFT,0,12/12/16,09:31:11,61.900000000,500
US1.MSFT,0,12/12/16,09:31:11,61.880000000,100
US1.MSFT,0,12/12/16,09:31:11,61.880000000,100
US1.MSFT,0,12/12/16,09:31:11,61.880000000,200
US1.MSFT,0,12/12/16,09:31:12,61.860000000,100
US1.MSFT,0,12/12/16,09:31:12,61.860000000,100
US1.MSFT,0,12/12/16,09:31:16,61.800000000,100
US1.MSFT,0,12/12/16,09:31:16,61.800000000,100
US1.MSFT,0,12/12/16,09:31:17,61.810000000,100
