Date,Open,High,Low,Close,Volume
30-Dec-16,0.40,0.43,0.40,0.42,0
29-Dec-16,0.42,0.45,0.40,0.42,0
28-Dec-16,0.39,0.43,0.39,0.42,0
23-Dec-16,0.44,0.44,0.39,0.44,0
22-Dec-16,0.42,0.46,0.39,0.45,0
21-Dec-16,0.38,0.46,0.38,0.46,0
20-Dec-16,0.39,0.40,0.38,0.40,0
19-Dec-16,0.42,0.42,0.38,0.39,0
16-Dec-16,0.38,0.42,0.38,0.42,0
15-Dec-16,0.40,0.40,0.38,0.38,0
14-Dec-16,0.44,0.44,0.40,0.40,0
13-Dec-16,0.38,0.40,0.38,0.39,0
12-Dec-16,0.40,0.41,0.38,0.41,0
9-Dec-16,0.40,0.41,0.40,0.41,0
8-Dec-16,0.40,0.40,0.40,0.40,0
7-Dec-16,0.40,0.42,0.40,0.42,0
6-Dec-16,0.44,0.45,0.40,0.40,0
5-Dec-16,0.48,0.48,0.45,0.45,0
2-Dec-16,0.44,0.45,0.44,0.45,0
1-Dec-16,0.42,0.45,0.42,0.44,0
30-Nov-16,0.45,0.45,0.44,0.44,0
29-Nov-16,0.46,0.46,0.45,0.45,0
28-Nov-16,0.50,0.50,0.48,0.48,0
25-Nov-16,0.52,0.52,0.49,0.49,0
24-Nov-16,0.52,0.52,0.49,0.51,0
23-Nov-16,0.51,0.52,0.51,0.51,0
22-Nov-16,0.54,0.54,0.50,0.51,0
21-Nov-16,0.54,0.54,0.51,0.51,0
18-Nov-16,0.51,0.54,0.51,0.54,0
17-Nov-16,0.55,0.55,0.52,0.55,0
16-Nov-16,0.55,0.56,0.52,0.54,0
15-Nov-16,0.58,0.58,0.55,0.55,0
14-Nov-16,0.54,0.54,0.52,0.54,0
11-Nov-16,0.54,0.54,0.54,0.54,0
10-Nov-16,0.54,0.54,0.52,0.54,0
9-Nov-16,0.55,0.55,0.53,0.54,0
8-Nov-16,0.56,0.56,0.56,0.56,0
7-Nov-16,0.56,0.56,0.56,0.56,0
4-Nov-16,0.56,0.56,0.56,0.56,0
3-Nov-16,0.56,0.58,0.56,0.56,0
2-Nov-16,0.59,0.59,0.56,0.57,0
1-Nov-16,0.68,0.69,0.59,0.60,0
31-Oct-16,0.63,0.63,0.58,0.58,0
28-Oct-16,0.63,0.65,0.56,0.62,0
27-Oct-16,0.56,0.62,0.56,0.58,0
26-Oct-16,0.60,0.62,0.40,0.40,0
25-Oct-16,0.59,0.60,0.56,0.60,0
24-Oct-16,0.56,0.59,0.56,0.58,0
21-Oct-16,0.58,0.59,0.56,0.56,0
20-Oct-16,0.58,0.60,0.58,0.58,0
19-Oct-16,0.58,0.62,0.58,0.58,0
18-Oct-16,0.61,0.61,0.55,0.56,849999
17-Oct-16,0.61,0.64,0.60,0.60,0
14-Oct-16,0.56,0.61,0.56,0.61,0
13-Oct-16,0.60,0.61,0.54,0.58,0
12-Oct-16,0.56,0.62,0.54,0.62,0
11-Oct-16,0.62,0.62,0.55,0.55,0
10-Oct-16,0.64,0.64,0.59,0.60,0
7-Oct-16,0.68,0.68,0.62,0.65,0
6-Oct-16,0.60,0.72,0.60,0.69,0
5-Oct-16,0.51,0.65,0.49,0.58,0
4-Oct-16,0.50,0.55,0.50,0.50,0
3-Oct-16,0.50,0.53,0.48,0.53,0
30-Sep-16,0.50,0.54,0.48,0.50,0
29-Sep-16,0.46,0.54,0.45,0.51,0
28-Sep-16,0.42,0.45,0.42,0.44,0
27-Sep-16,0.46,0.48,0.42,0.45,0
26-Sep-16,0.41,0.41,0.39,0.40,0
23-Sep-16,0.40,0.42,0.40,0.41,0
22-Sep-16,0.40,0.44,0.40,0.42,0
21-Sep-16,0.49,0.50,0.40,0.40,0
20-Sep-16,0.48,0.47,0.42,0.45,0
19-Sep-16,0.54,0.55,0.42,0.45,0
16-Sep-16,0.50,0.59,0.50,0.54,0
15-Sep-16,0.57,0.62,0.51,0.60,0
14-Sep-16,0.55,0.59,0.50,0.54,0
13-Sep-16,0.60,0.68,0.50,0.54,0
12-Sep-16,0.50,0.60,0.47,0.60,0
9-Sep-16,0.60,0.69,0.42,0.54,0
8-Sep-16,0.50,0.80,0.48,0.75,0
7-Sep-16,0.39,0.50,0.37,0.50,0
6-Sep-16,0.40,0.47,0.37,0.37,0
5-Sep-16,0.33,0.45,0.33,0.44,0
2-Sep-16,0.33,0.35,0.32,0.34,0
1-Sep-16,0.38,0.40,0.25,0.35,0
31-Aug-16,0.65,0.65,0.45,0.45,0
30-Aug-16,0.54,0.54,0.45,0.50,0
26-Aug-16,0.47,0.54,0.47,0.51,0
25-Aug-16,0.53,0.53,0.46,0.50,0
24-Aug-16,0.54,0.56,0.50,0.50,0
23-Aug-16,0.57,0.59,0.50,0.54,0
22-Aug-16,0.56,0.66,0.54,0.60,0
19-Aug-16,0.54,0.59,0.53,0.56,0
18-Aug-16,0.51,0.59,0.50,0.59,0
17-Aug-16,0.54,0.66,0.51,0.54,0
16-Aug-16,0.52,0.60,0.48,0.55,0
15-Aug-16,0.48,0.58,0.41,0.52,0
12-Aug-16,0.37,0.40,0.30,0.37,0
11-Aug-16,0.42,0.42,0.36,0.40,0
10-Aug-16,0.43,0.44,0.40,0.42,0
9-Aug-16,0.38,0.43,0.38,0.43,0
8-Aug-16,0.38,0.43,0.38,0.42,0
5-Aug-16,0.38,0.43,0.38,0.43,0
4-Aug-16,0.40,0.43,0.34,0.39,0
3-Aug-16,0.46,0.46,0.40,0.40,0
2-Aug-16,0.40,0.43,0.39,0.40,0
1-Aug-16,0.44,0.44,0.40,0.42,0
29-Jul-16,0.44,0.44,0.44,0.44,0
28-Jul-16,0.40,0.44,0.40,0.40,0
27-Jul-16,0.45,0.45,0.40,0.44,0
26-Jul-16,0.45,0.45,0.45,0.45,0
25-Jul-16,0.45,0.45,0.40,0.45,0
22-Jul-16,0.45,0.48,0.40,0.45,0
21-Jul-16,0.43,0.43,0.40,0.40,0
20-Jul-16,0.42,0.43,0.42,0.43,0
19-Jul-16,0.41,0.44,0.41,0.42,0
18-Jul-16,0.44,0.44,0.41,0.44,0
15-Jul-16,0.40,0.50,0.40,0.44,0
14-Jul-16,0.40,0.40,0.39,0.40,0
13-Jul-16,0.41,0.46,0.40,0.42,0
12-Jul-16,0.38,0.45,0.38,0.43,0
11-Jul-16,0.44,0.45,0.38,0.41,0
8-Jul-16,0.41,0.45,0.41,0.41,0
7-Jul-16,0.45,0.45,0.40,0.41,0
6-Jul-16,0.43,0.45,0.40,0.45,0
5-Jul-16,0.42,0.42,0.40,0.41,0
4-Jul-16,0.42,0.42,0.40,0.40,0
1-Jul-16,0.42,0.50,0.40,0.40,0
30-Jun-16,0.40,0.43,0.40,0.42,0
29-Jun-16,0.50,0.50,0.40,0.43,0
28-Jun-16,0.43,0.50,0.40,0.43,0
27-Jun-16,0.45,0.45,0.39,0.43,0
24-Jun-16,0.45,0.50,0.42,0.42,0
23-Jun-16,0.48,0.55,0.45,0.47,0
22-Jun-16,0.45,0.55,0.45,0.45,0
21-Jun-16,0.55,0.55,0.45,0.55,0
20-Jun-16,0.46,0.55,0.46,0.48,0
17-Jun-16,0.55,0.55,0.46,0.55,0
16-Jun-16,0.50,0.55,0.46,0.55,0
15-Jun-16,0.43,0.50,0.43,0.50,0
14-Jun-16,0.47,0.55,0.43,0.44,0
13-Jun-16,0.48,0.55,0.46,0.54,0
10-Jun-16,0.52,0.55,0.47,0.48,0
9-Jun-16,0.50,0.54,0.50,0.53,0
8-Jun-16,0.50,0.52,0.50,0.52,0
7-Jun-16,0.47,0.51,0.47,0.47,0
6-Jun-16,0.47,0.53,0.46,0.52,0
3-Jun-16,0.50,0.54,0.46,0.54,0
2-Jun-16,0.53,0.53,0.50,0.50,0
1-Jun-16,0.51,0.53,0.50,0.53,0
31-May-16,0.51,0.54,0.50,0.52,0
27-May-16,0.74,0.77,0.51,0.51,0
26-May-16,0.50,0.58,0.48,0.57,0
25-May-16,0.50,0.50,0.45,0.48,0
24-May-16,0.50,0.52,0.50,0.50,0
