Date,Open,High,Low,Close,Volume
30-Dec-16,3.75,3.83,3.65,3.69,5141017
29-Dec-16,3.80,4.07,3.72,3.75,7451851
28-Dec-16,4.03,4.07,3.75,3.77,6264623
27-Dec-16,3.97,4.16,3.97,4.00,7464449
23-Dec-16,4.46,4.50,4.17,4.25,5747374
22-Dec-16,4.82,4.92,4.42,4.52,5861899
21-Dec-16,5.10,5.16,4.76,4.87,6236165
20-Dec-16,4.88,5.02,4.72,4.85,6027759
19-Dec-16,5.01,5.30,4.75,4.99,10763350
16-Dec-16,6.00,6.15,4.69,4.91,45634085
15-Dec-16,4.11,5.44,3.77,5.40,39019574
14-Dec-16,3.96,4.03,3.51,3.55,5280365
13-Dec-16,4.02,4.08,3.90,3.96,2692781
12-Dec-16,4.20,4.25,3.87,4.02,6574226
9-Dec-16,4.24,4.43,4.01,4.05,7731748
8-Dec-16,4.50,4.56,4.20,4.28,9051076
7-Dec-16,4.80,4.80,4.52,4.60,7206326
6-Dec-16,4.88,5.28,4.67,4.79,18049561
5-Dec-16,4.97,4.97,4.55,4.60,7189847
2-Dec-16,5.00,5.11,4.51,4.80,14528840
1-Dec-16,6.25,6.40,4.86,5.25,36729594
30-Nov-16,4.60,5.75,4.35,5.25,23610724
29-Nov-16,5.07,5.07,4.08,4.33,15350600
28-Nov-16,5.48,5.88,4.87,4.95,13416811
25-Nov-16,6.05,6.19,5.46,5.48,7269443
23-Nov-16,6.36,6.86,5.35,6.01,24905788
22-Nov-16,9.50,9.66,6.10,6.22,18100450
21-Nov-16,13.93,16.44,8.73,9.10,23824704
18-Nov-16,12.64,21.72,11.05,11.81,28910418
17-Nov-16,51.08,54.15,10.80,11.00,8376082
15-Nov-16,55.00,102.00,45.40,73.00,10195757
14-Nov-16,14.50,44.90,13.60,42.86,10040939
11-Nov-16,12.23,18.77,10.69,13.60,5231221
10-Nov-16,4.80,15.60,4.75,11.90,5685778
9-Nov-16,4.55,5.15,4.49,5.10,149776
8-Nov-16,4.46,4.79,4.46,4.56,42970
7-Nov-16,4.84,5.10,4.43,4.60,86654
4-Nov-16,5.00,5.73,4.48,4.59,180835
3-Nov-16,3.87,5.09,3.86,4.70,195673
2-Nov-16,4.33,4.34,3.84,3.94,66035
1-Nov-16,4.56,5.44,4.21,4.35,91572
31-Oct-16,4.74,4.80,4.50,4.65,35082
28-Oct-16,5.25,5.40,4.50,4.75,77112
27-Oct-16,5.84,5.85,5.48,5.59,14277
26-Oct-16,5.86,6.00,5.55,5.56,28735
25-Oct-16,5.55,5.97,5.28,5.81,33559
24-Oct-16,5.37,5.55,5.27,5.33,21502
21-Oct-16,5.72,5.85,5.25,5.43,30751
20-Oct-16,5.77,6.27,5.70,5.85,52484
19-Oct-16,5.22,5.97,5.14,5.78,34955
18-Oct-16,5.70,6.00,5.02,5.40,33143
17-Oct-16,5.70,6.00,5.57,5.57,12602
14-Oct-16,6.08,6.08,5.62,5.70,24289
13-Oct-16,6.38,6.38,5.73,5.86,30514
12-Oct-16,6.38,6.38,6.00,6.04,23949
11-Oct-16,6.39,6.51,6.15,6.18,20386
10-Oct-16,6.30,6.54,6.22,6.39,19421
7-Oct-16,6.70,6.70,6.08,6.22,44425
6-Oct-16,6.52,7.04,6.33,6.42,73321
5-Oct-16,6.75,6.82,6.45,6.52,34983
4-Oct-16,7.04,7.04,6.62,6.65,21712
3-Oct-16,6.45,6.90,6.45,6.79,16919
30-Sep-16,6.45,6.97,6.45,6.80,17137
29-Sep-16,7.04,7.42,6.64,6.68,64833
28-Sep-16,6.60,7.05,6.60,6.94,35161
27-Sep-16,7.04,7.04,6.60,6.65,37534
26-Sep-16,7.20,7.20,6.72,7.05,34545
23-Sep-16,7.65,8.07,7.05,7.25,90693
22-Sep-16,6.90,7.35,6.60,7.22,106029
21-Sep-16,6.15,6.72,6.15,6.57,42979
20-Sep-16,6.90,7.23,6.15,6.33,100113
19-Sep-16,7.80,7.86,6.86,6.97,133428
16-Sep-16,7.80,8.40,7.43,7.86,128445
