Date,Open,High,Low,Close,Volume
30-Dec-16,0.08,0.08,0.08,0.08,3937939
29-Dec-16,0.09,0.09,0.08,0.08,3448243
28-Dec-16,0.09,0.09,0.09,0.09,5241198
27-Dec-16,0.09,0.10,0.09,0.09,10511422
23-Dec-16,0.09,0.09,0.08,0.08,2623018
22-Dec-16,0.09,0.10,0.08,0.09,4112053
21-Dec-16,0.09,0.09,0.09,0.09,3980760
20-Dec-16,0.09,0.10,0.09,0.09,4912351
19-Dec-16,0.10,0.10,0.09,0.09,15518382
16-Dec-16,0.12,0.14,0.12,0.13,2130381
15-Dec-16,0.14,0.15,0.12,0.13,4136342
14-Dec-16,0.18,0.18,0.13,0.15,7261349
13-Dec-16,0.12,0.20,0.12,0.16,16689424
12-Dec-16,0.14,0.14,0.10,0.11,3798215
9-Dec-16,0.21,0.22,0.13,0.13,10975895
8-Dec-16,0.12,0.23,0.12,0.17,25059659
7-Dec-16,0.09,0.15,0.09,0.13,10818606
6-Dec-16,0.09,0.10,0.09,0.09,420338
5-Dec-16,0.10,0.10,0.08,0.09,715087
2-Dec-16,0.10,0.10,0.09,0.10,548824
1-Dec-16,0.11,0.11,0.09,0.09,935125
30-Nov-16,0.11,0.11,0.10,0.10,1247461
29-Nov-16,0.12,0.14,0.11,0.11,4048504
28-Nov-16,0.11,0.15,0.10,0.13,10697749
25-Nov-16,0.10,0.11,0.09,0.10,2753618
23-Nov-16,0.09,0.11,0.08,0.09,4022546
22-Nov-16,0.09,0.09,0.08,0.08,402411
21-Nov-16,0.09,0.09,0.08,0.08,519775
18-Nov-16,0.10,0.10,0.08,0.09,538130
17-Nov-16,0.08,0.10,0.08,0.09,1857207
16-Nov-16,0.09,0.09,0.08,0.08,1174412
15-Nov-16,0.10,0.11,0.09,0.09,1749843
14-Nov-16,0.11,0.12,0.08,0.11,2711302
11-Nov-16,0.13,0.16,0.13,0.14,840104
10-Nov-16,0.13,0.13,0.12,0.13,285714
9-Nov-16,0.11,0.14,0.11,0.13,755329
8-Nov-16,0.14,0.14,0.13,0.13,310988
7-Nov-16,0.12,0.14,0.12,0.13,276925
4-Nov-16,0.12,0.14,0.12,0.13,408814
3-Nov-16,0.14,0.14,0.11,0.12,768200
2-Nov-16,0.15,0.15,0.13,0.13,666663
1-Nov-16,0.15,0.15,0.14,0.14,403769
31-Oct-16,0.15,0.16,0.14,0.14,538545
28-Oct-16,0.16,0.16,0.15,0.15,691932
27-Oct-16,0.16,0.17,0.16,0.16,431411
26-Oct-16,0.15,0.17,0.15,0.16,532835
25-Oct-16,0.16,0.16,0.15,0.15,356506
24-Oct-16,0.17,0.17,0.15,0.16,486806
21-Oct-16,0.17,0.17,0.16,0.17,296952
20-Oct-16,0.16,0.18,0.16,0.16,504926
19-Oct-16,0.18,0.18,0.16,0.16,744466
18-Oct-16,0.17,0.19,0.16,0.18,1410063
17-Oct-16,0.15,0.21,0.15,0.16,6004092
14-Oct-16,0.15,0.16,0.15,0.15,453443
13-Oct-16,0.15,0.16,0.15,0.15,481311
12-Oct-16,0.16,0.16,0.15,0.15,472469
11-Oct-16,0.15,0.16,0.14,0.15,817504
10-Oct-16,0.15,0.15,0.14,0.15,510585
7-Oct-16,0.16,0.16,0.15,0.15,229943
6-Oct-16,0.16,0.16,0.15,0.16,585691
5-Oct-16,0.18,0.18,0.14,0.16,1305347
4-Oct-16,0.18,0.18,0.18,0.18,265873
3-Oct-16,0.20,0.20,0.18,0.18,343794
30-Sep-16,0.18,0.20,0.17,0.19,504555
29-Sep-16,0.18,0.20,0.18,0.18,411038
28-Sep-16,0.18,0.19,0.18,0.18,482679
27-Sep-16,0.20,0.20,0.18,0.20,1544520
26-Sep-16,0.22,0.23,0.18,0.19,1989409
23-Sep-16,0.23,0.24,0.22,0.22,539746
22-Sep-16,0.23,0.23,0.23,0.23,453863
21-Sep-16,0.23,0.24,0.23,0.23,419067
20-Sep-16,0.24,0.24,0.23,0.24,443543
19-Sep-16,0.25,0.26,0.23,0.24,800677
16-Sep-16,0.24,0.26,0.23,0.25,1328131
15-Sep-16,0.24,0.24,0.23,0.24,635063
14-Sep-16,0.23,0.24,0.22,0.23,1460909
13-Sep-16,0.23,0.23,0.22,0.22,423951
12-Sep-16,0.23,0.24,0.22,0.22,436185
9-Sep-16,0.24,0.24,0.23,0.23,782400
8-Sep-16,0.25,0.26,0.23,0.24,838403
7-Sep-16,0.25,0.26,0.25,0.25,421755
6-Sep-16,0.25,0.26,0.24,0.25,802887
2-Sep-16,0.26,0.26,0.24,0.24,570030
1-Sep-16,0.26,0.26,0.24,0.26,578987
31-Aug-16,0.27,0.27,0.25,0.26,1059217
30-Aug-16,0.25,0.26,0.24,0.26,948146
29-Aug-16,0.25,0.25,0.24,0.24,889285
26-Aug-16,0.26,0.26,0.25,0.25,756589
25-Aug-16,0.26,0.27,0.24,0.25,1479421
24-Aug-16,0.26,0.27,0.26,0.26,1254355
23-Aug-16,0.27,0.28,0.26,0.27,549005
22-Aug-16,0.28,0.28,0.26,0.27,979809
19-Aug-16,0.28,0.29,0.27,0.27,729655
18-Aug-16,0.30,0.30,0.28,0.28,970598
17-Aug-16,0.28,0.30,0.26,0.30,1305148
16-Aug-16,0.28,0.29,0.26,0.27,2175151
15-Aug-16,0.32,0.34,0.27,0.28,3869348
12-Aug-16,0.32,0.32,0.30,0.31,2287987
11-Aug-16,0.36,0.36,0.29,0.32,4097601
10-Aug-16,0.38,0.38,0.31,0.33,5244900
9-Aug-16,0.32,0.39,0.32,0.37,8635791
8-Aug-16,0.33,0.33,0.30,0.31,1882387
5-Aug-16,0.30,0.31,0.28,0.30,1861066
4-Aug-16,0.30,0.32,0.25,0.29,3377471
3-Aug-16,0.30,0.37,0.29,0.32,15297339
2-Aug-16,0.28,0.29,0.26,0.29,3870651
1-Aug-16,0.24,0.27,0.24,0.26,1681229
29-Jul-16,0.24,0.25,0.24,0.24,1298416
28-Jul-16,0.25,0.26,0.23,0.25,1202948
27-Jul-16,0.23,0.25,0.23,0.25,2141621
26-Jul-16,0.25,0.25,0.22,0.23,1609922
25-Jul-16,0.23,0.26,0.23,0.24,3005375
22-Jul-16,0.25,0.25,0.22,0.22,2430924
21-Jul-16,0.28,0.28,0.22,0.24,2525542
20-Jul-16,0.30,0.30,0.27,0.27,2609832
19-Jul-16,0.30,0.30,0.25,0.28,3105717
18-Jul-16,0.30,0.31,0.28,0.29,4728435
15-Jul-16,0.31,0.32,0.29,0.30,13370561
14-Jul-16,0.28,0.30,0.27,0.28,26816433
13-Jul-16,0.55,0.74,0.53,0.54,3107169
12-Jul-16,0.51,0.55,0.49,0.52,483359
11-Jul-16,0.57,0.57,0.51,0.51,469793
8-Jul-16,0.48,0.54,0.47,0.54,279567
7-Jul-16,0.51,0.51,0.48,0.49,229799
6-Jul-16,0.56,0.56,0.50,0.51,252139
5-Jul-16,0.61,0.61,0.58,0.58,56820
1-Jul-16,0.61,0.64,0.60,0.60,43673
30-Jun-16,0.65,0.67,0.62,0.63,66524
29-Jun-16,0.67,0.67,0.63,0.64,93230
28-Jun-16,0.80,0.87,0.62,0.64,849603
27-Jun-16,0.68,0.70,0.68,0.68,53729
24-Jun-16,0.65,0.83,0.65,0.68,210424
23-Jun-16,0.73,0.76,0.70,0.75,56976
22-Jun-16,0.74,0.80,0.70,0.71,65807
21-Jun-16,0.68,0.78,0.67,0.78,253677
20-Jun-16,0.67,0.69,0.65,0.67,51695
17-Jun-16,0.68,0.71,0.66,0.70,55362
16-Jun-16,0.75,0.75,0.66,0.66,85285
15-Jun-16,0.76,0.83,0.72,0.72,166274
14-Jun-16,0.84,0.89,0.76,0.80,68622
13-Jun-16,0.78,0.86,0.76,0.80,105690
10-Jun-16,0.90,0.90,0.75,0.76,118344
9-Jun-16,1.08,1.10,0.86,0.89,363851
8-Jun-16,0.76,1.16,0.73,1.03,869286
7-Jun-16,0.73,0.78,0.70,0.76,99493
6-Jun-16,0.68,0.73,0.68,0.72,58815
3-Jun-16,0.64,0.73,0.63,0.68,166844
2-Jun-16,0.63,0.67,0.62,0.63,61759
1-Jun-16,0.56,0.62,0.56,0.62,34848
31-May-16,0.60,0.60,0.57,0.57,11535
27-May-16,0.59,0.59,0.58,0.58,4552
26-May-16,0.56,0.60,0.56,0.58,17938
25-May-16,0.58,0.60,0.56,0.58,18421
24-May-16,0.59,0.60,0.56,0.58,37396
23-May-16,0.60,0.62,0.58,0.58,22082
20-May-16,0.58,0.70,0.55,0.63,218683
19-May-16,0.56,0.60,0.55,0.56,7682
18-May-16,0.56,0.60,0.56,0.60,32800
17-May-16,0.61,0.64,0.61,0.62,5373
16-May-16,0.63,0.65,0.62,0.62,15117
13-May-16,0.64,0.65,0.63,0.63,24247
12-May-16,0.63,0.64,0.63,0.63,12805
11-May-16,0.71,0.71,0.59,0.63,22434
10-May-16,0.70,0.73,0.68,0.69,14819
9-May-16,0.74,0.75,0.72,0.74,22187
6-May-16,0.77,0.79,0.68,0.72,101376
5-May-16,0.64,0.79,0.64,0.75,301945
4-May-16,0.64,0.64,0.62,0.64,23612
3-May-16,0.61,0.62,0.55,0.62,38357
2-May-16,0.61,0.62,0.61,0.61,6596
29-Apr-16,0.65,0.67,0.61,0.64,26284
28-Apr-16,0.67,0.69,0.67,0.69,26394
27-Apr-16,0.66,0.69,0.61,0.66,22664
26-Apr-16,0.64,0.65,0.61,0.64,10959
25-Apr-16,0.63,0.70,0.60,0.64,16095
22-Apr-16,0.67,0.67,0.60,0.67,15551
21-Apr-16,0.72,0.75,0.63,0.66,108967
20-Apr-16,0.57,0.70,0.57,0.67,140296
19-Apr-16,0.60,0.62,0.52,0.55,72067
18-Apr-16,0.60,0.63,0.60,0.63,27162
15-Apr-16,0.60,0.63,0.60,0.63,23548
14-Apr-16,0.65,0.66,0.62,0.63,24441
13-Apr-16,0.64,0.67,0.61,0.65,8128
12-Apr-16,0.61,0.67,0.60,0.67,39577
11-Apr-16,0.60,0.61,0.60,0.61,8039
8-Apr-16,0.60,0.64,0.60,0.62,27999
7-Apr-16,0.68,0.68,0.57,0.61,51391
6-Apr-16,0.70,0.71,0.69,0.70,5387
5-Apr-16,0.72,0.73,0.67,0.71,81709
4-Apr-16,0.71,0.75,0.71,0.74,10630
1-Apr-16,0.76,0.76,0.71,0.73,29129
31-Mar-16,0.75,0.78,0.75,0.75,34014
30-Mar-16,0.75,0.79,0.75,0.78,23203
29-Mar-16,0.83,0.84,0.77,0.79,15816
28-Mar-16,0.84,0.84,0.80,0.83,17181
24-Mar-16,0.82,0.85,0.82,0.84,24866
23-Mar-16,0.89,0.95,0.81,0.87,114088
22-Mar-16,0.80,0.96,0.72,0.78,89422
21-Mar-16,0.99,1.00,0.72,0.72,158563
18-Mar-16,0.60,1.14,0.60,0.98,439887
17-Mar-16,0.58,0.62,0.58,0.59,28666
16-Mar-16,0.57,0.64,0.57,0.57,23665
15-Mar-16,0.60,0.62,0.57,0.60,36282
14-Mar-16,0.60,0.64,0.60,0.64,42803
11-Mar-16,0.66,0.66,0.64,0.65,54857
10-Mar-16,0.69,0.69,0.65,0.65,21211
9-Mar-16,0.70,0.70,0.69,0.69,9461
8-Mar-16,0.69,0.71,0.69,0.70,18315
7-Mar-16,0.70,0.71,0.69,0.70,17400
4-Mar-16,0.67,0.71,0.65,0.70,30390
3-Mar-16,0.68,0.71,0.66,0.70,23024
2-Mar-16,0.70,0.70,0.64,0.65,15689
1-Mar-16,0.70,0.71,0.69,0.70,24585
29-Feb-16,0.74,0.74,0.71,0.71,12128
26-Feb-16,0.73,0.77,0.72,0.74,57158
25-Feb-16,0.79,0.79,0.74,0.75,25772
24-Feb-16,0.80,0.81,0.77,0.77,8150
