Date,Open,High,Low,Close,Volume
30-Dec-16,35.60,35.91,35.39,35.53,2039836
29-Dec-16,35.27,35.72,35.27,35.55,2255874
28-Dec-16,35.70,35.87,35.09,35.19,2570329
27-Dec-16,35.25,35.69,35.25,35.67,1304115
23-Dec-16,35.18,35.30,34.82,35.02,1454424
22-Dec-16,35.00,35.47,34.84,35.25,2078170
21-Dec-16,34.93,35.03,34.60,34.96,2245802
20-Dec-16,34.87,35.04,34.64,34.68,2105098
19-Dec-16,34.75,34.83,34.43,34.63,1898848
16-Dec-16,34.95,35.03,34.67,34.90,3957157
15-Dec-16,34.56,35.31,34.42,35.15,3175482
14-Dec-16,35.41,35.62,34.94,34.99,1998656
13-Dec-16,35.88,35.90,35.55,35.71,2960238
12-Dec-16,36.38,36.41,35.83,36.08,4063632
9-Dec-16,35.55,35.75,35.17,35.36,2997181
8-Dec-16,35.46,35.96,35.17,35.90,5718278
7-Dec-16,35.78,36.02,35.54,35.90,3057683
6-Dec-16,36.00,36.32,35.85,36.25,3289023
5-Dec-16,35.89,36.51,35.86,36.31,3516448
2-Dec-16,34.83,35.82,34.81,35.60,3141729
1-Dec-16,34.82,35.17,34.51,34.70,5617350
30-Nov-16,33.99,34.74,33.79,34.26,7286696
29-Nov-16,32.75,33.28,32.44,33.00,5127974
28-Nov-16,33.37,33.60,33.06,33.31,4635362
25-Nov-16,34.29,34.29,33.64,33.98,1646210
23-Nov-16,34.25,34.84,34.00,34.71,3770065
22-Nov-16,34.94,35.04,34.34,34.77,3410431
21-Nov-16,34.74,35.15,34.60,35.13,2498831
18-Nov-16,34.41,34.51,34.09,34.26,3018042
17-Nov-16,34.79,35.01,34.42,34.92,3300884
16-Nov-16,35.05,35.08,34.50,34.81,4995371
15-Nov-16,34.51,35.74,34.38,35.40,3726167
14-Nov-16,33.61,34.25,33.61,34.23,2185992
11-Nov-16,34.27,34.47,33.55,33.76,3171911
10-Nov-16,34.00,34.68,33.84,34.48,4614070
9-Nov-16,32.93,33.85,32.85,33.52,4064182
8-Nov-16,32.72,33.06,32.70,32.93,2154136
7-Nov-16,32.78,32.96,32.54,32.96,2318260
4-Nov-16,32.44,32.57,31.98,32.24,3242956
3-Nov-16,32.23,32.70,32.15,32.64,3668090
2-Nov-16,32.08,32.32,31.53,32.14,3964386
1-Nov-16,32.53,32.75,32.12,32.50,4720122
31-Oct-16,32.53,32.75,32.18,32.27,4380015
28-Oct-16,32.65,33.10,32.23,32.49,4427458
27-Oct-16,32.87,32.98,32.39,32.50,5257663
26-Oct-16,31.99,32.24,31.65,32.13,3181158
25-Oct-16,32.38,32.62,32.24,32.42,2785746
24-Oct-16,33.18,33.20,32.02,32.41,3664400
21-Oct-16,32.96,33.43,32.88,33.26,4976976
20-Oct-16,32.30,33.38,31.90,32.86,9307828
19-Oct-16,31.33,31.56,31.14,31.49,4133307
18-Oct-16,31.84,31.95,30.91,31.15,3282444
17-Oct-16,31.73,31.99,31.33,31.44,2836196
14-Oct-16,32.00,32.05,31.63,31.73,3010420
13-Oct-16,31.27,31.99,31.24,31.85,3833385
12-Oct-16,31.28,31.50,31.26,31.43,2626572
11-Oct-16,31.85,31.89,31.01,31.30,3196559
10-Oct-16,31.72,32.22,31.72,32.15,3849420
7-Oct-16,31.52,31.54,31.13,31.32,3363253
6-Oct-16,30.87,31.26,30.75,30.95,3155642
5-Oct-16,30.51,31.07,30.41,30.71,4825606
4-Oct-16,30.04,30.30,29.72,29.95,3812718
3-Oct-16,29.70,29.96,29.48,29.88,4074866
30-Sep-16,30.08,30.19,29.64,29.67,3846292
29-Sep-16,28.92,30.02,28.91,29.51,5942568
28-Sep-16,27.72,28.55,27.34,28.53,4175440
27-Sep-16,27.14,27.72,27.12,27.43,3281855
26-Sep-16,27.65,28.06,27.50,27.53,3099844
23-Sep-16,27.87,28.08,27.33,27.45,4531508
22-Sep-16,28.47,28.63,27.94,27.99,4496819
21-Sep-16,27.81,28.04,27.45,27.93,3142918
20-Sep-16,27.53,27.76,27.31,27.55,5189771
19-Sep-16,27.78,28.13,27.48,27.51,2619885
16-Sep-16,27.35,27.60,27.29,27.51,3374935
15-Sep-16,27.70,27.98,27.40,27.83,3087239
