Date,Open,High,Low,Close,Volume
30-Dec-16,21.79,22.24,20.79,20.92,142043287
29-Dec-16,20.47,21.84,20.45,21.75,140319107
28-Dec-16,19.75,20.32,19.64,20.24,61690268
27-Dec-16,19.67,19.88,19.52,19.87,60061540
23-Dec-16,19.15,19.43,19.10,19.34,58208895
22-Dec-16,19.05,19.42,19.00,19.07,59725480
21-Dec-16,19.21,19.29,18.97,19.09,75381500
20-Dec-16,18.71,19.18,18.58,19.13,56487545
19-Dec-16,19.17,19.28,18.92,19.08,46656788
16-Dec-16,19.26,19.48,18.79,19.08,99834331
15-Dec-16,19.31,19.35,18.68,18.99,175932653
14-Dec-16,21.34,21.49,19.87,19.89,154550063
13-Dec-16,20.73,21.10,20.59,21.04,58388484
12-Dec-16,20.90,21.10,20.62,20.75,54072779
9-Dec-16,21.23,21.30,20.52,20.67,99890487
8-Dec-16,21.35,21.52,21.18,21.46,35073568
7-Dec-16,21.58,21.74,21.28,21.44,63628610
6-Dec-16,21.32,21.67,21.06,21.20,43701303
5-Dec-16,20.99,21.58,20.63,21.33,64778054
2-Dec-16,20.91,21.50,20.90,21.37,88022261
1-Dec-16,20.59,21.14,20.27,20.66,58942445
30-Nov-16,20.98,21.05,20.52,20.83,70615438
29-Nov-16,20.88,21.38,20.77,21.23,50015476
28-Nov-16,20.90,21.44,20.67,21.40,100582680
25-Nov-16,20.70,20.86,20.44,20.61,34434225
23-Nov-16,20.72,20.72,20.14,20.50,134621971
22-Nov-16,21.55,21.62,20.96,21.56,44434973
21-Nov-16,21.44,21.75,21.28,21.48,63978386
18-Nov-16,21.05,21.28,20.77,21.05,75593038
17-Nov-16,21.81,22.24,20.90,21.30,97704090
16-Nov-16,21.90,22.00,21.38,21.84,55839808
15-Nov-16,21.23,22.15,20.99,22.02,107240502
14-Nov-16,20.51,21.76,20.13,21.12,135306098
11-Nov-16,22.67,22.75,20.83,20.92,179547684
10-Nov-16,24.34,24.34,22.60,22.75,180716526
9-Nov-16,25.63,25.70,24.00,24.59,120870834
8-Nov-16,24.19,24.68,23.64,23.96,63550875
7-Nov-16,24.22,24.35,23.75,24.08,91724886
4-Nov-16,25.29,25.33,24.65,25.07,64627946
3-Nov-16,24.78,25.47,24.73,25.30,67325554
2-Nov-16,25.69,25.93,24.55,24.76,114456948
1-Nov-16,25.08,25.58,24.91,25.13,82620895
31-Oct-16,23.96,24.55,23.74,24.52,73846498
