Date,Open,High,Low,Close,Volume
30-Dec-16,8.72,9.26,7.55,7.64,87830927
29-Dec-16,7.34,8.77,7.32,8.76,89013563
28-Dec-16,6.60,7.17,6.50,7.11,51810216
27-Dec-16,6.55,6.72,6.38,6.72,38970464
23-Dec-16,6.03,6.29,5.99,6.24,34990636
22-Dec-16,5.95,6.29,5.90,5.98,34714166
21-Dec-16,6.10,6.18,5.87,6.01,31911879
20-Dec-16,5.63,6.07,5.51,6.01,45216886
19-Dec-16,6.05,6.15,5.82,5.99,40988646
16-Dec-16,6.10,6.29,5.66,5.90,64715803
15-Dec-16,6.19,6.22,5.55,5.93,107347087
14-Dec-16,8.42,8.60,6.90,6.91,93540992
13-Dec-16,7.76,8.15,7.60,8.08,39912004
12-Dec-16,7.91,8.15,7.63,7.76,33972823
9-Dec-16,8.36,8.44,7.51,7.69,53977061
8-Dec-16,8.51,8.71,8.30,8.63,30912847
7-Dec-16,8.77,8.95,8.43,8.63,49283604
6-Dec-16,8.50,8.89,8.17,8.33,35569628
5-Dec-16,8.11,8.79,7.66,8.48,57473991
2-Dec-16,8.01,8.67,8.00,8.52,56570668
1-Dec-16,7.67,8.29,7.30,7.73,63303255
30-Nov-16,8.13,8.19,7.57,7.93,51594707
29-Nov-16,7.99,8.59,7.85,8.40,44073554
28-Nov-16,8.05,8.65,7.80,8.62,46077038
25-Nov-16,7.84,8.02,7.55,7.74,22166671
23-Nov-16,7.88,7.89,7.20,7.62,63371800
22-Nov-16,8.92,9.00,8.20,8.95,41581699
21-Nov-16,8.79,9.15,8.59,8.84,38499596
18-Nov-16,8.31,8.60,8.00,8.36,37124397
17-Nov-16,9.26,9.84,8.14,8.65,56341875
16-Nov-16,9.39,9.53,8.73,9.31,40268095
15-Nov-16,8.57,9.70,8.31,9.55,45109622
14-Nov-16,7.75,9.18,7.30,8.51,78760855
11-Nov-16,10.78,10.83,8.11,8.28,83733216
10-Nov-16,13.58,13.59,10.62,10.97,63470809
9-Nov-16,15.69,15.80,13.06,14.05,48014620
8-Nov-16,13.35,14.17,12.50,13.05,28975353
7-Nov-16,13.47,13.68,12.62,13.23,31392808
4-Nov-16,15.33,15.43,14.21,14.88,27586391
3-Nov-16,14.50,15.67,14.14,15.39,25302193
2-Nov-16,16.12,16.56,14.07,14.48,46269059
1-Nov-16,15.01,15.88,14.73,15.12,42704952
31-Oct-16,13.12,14.09,12.80,14.06,27815863
28-Oct-16,12.68,13.68,12.30,12.94,41817286
27-Oct-16,13.74,13.85,12.38,12.79,29019440
