Date,Open,High,Low,Close,Volume
30-Dec-16,23.29,23.33,23.17,23.25,44761220
29-Dec-16,23.39,23.43,23.10,23.20,39251797
28-Dec-16,23.65,23.67,23.35,23.37,30834389
27-Dec-16,23.63,23.64,23.58,23.61,38241051
23-Dec-16,23.54,23.58,23.47,23.58,18276667
22-Dec-16,23.59,23.59,23.46,23.54,37796099
21-Dec-16,23.66,23.67,23.52,23.60,37737962
20-Dec-16,23.51,23.66,23.51,23.66,60793628
19-Dec-16,23.39,23.43,23.18,23.37,73717593
16-Dec-16,23.68,23.69,23.33,23.36,83096468
15-Dec-16,23.59,23.87,23.50,23.67,110426017
14-Dec-16,23.40,23.83,23.31,23.47,142995830
13-Dec-16,23.58,23.72,23.38,23.58,113420674
12-Dec-16,23.68,23.78,23.46,23.52,85143226
9-Dec-16,23.70,23.75,23.53,23.75,95677338
8-Dec-16,23.61,23.84,23.47,23.70,116856521
7-Dec-16,23.18,23.50,23.10,23.48,120172457
6-Dec-16,23.07,23.14,22.84,23.12,79142635
5-Dec-16,22.85,23.00,22.79,22.92,95145737
2-Dec-16,22.84,22.85,22.55,22.65,82108345
1-Dec-16,22.63,22.95,22.60,22.90,120088254
30-Nov-16,22.52,22.57,22.43,22.51,98843676
29-Nov-16,22.19,22.28,22.11,22.21,74645748
28-Nov-16,22.25,22.38,22.09,22.15,99791424
25-Nov-16,22.43,22.45,22.32,22.41,33114823
23-Nov-16,22.34,22.41,22.17,22.38,101948383
22-Nov-16,22.34,22.35,22.12,22.25,98286517
21-Nov-16,22.28,22.30,22.09,22.24,71943930
18-Nov-16,22.14,22.24,22.06,22.16,92344297
17-Nov-16,21.86,22.18,21.81,22.16,97733982
16-Nov-16,21.98,22.03,21.80,21.86,117887705
15-Nov-16,22.01,22.20,21.79,22.18,122754546
14-Nov-16,21.88,22.33,21.85,22.20,261730895
11-Nov-16,21.47,21.70,21.40,21.67,134954549
10-Nov-16,21.16,21.70,21.08,21.61,241635544
9-Nov-16,20.54,20.94,20.11,20.84,268936640
8-Nov-16,19.92,20.09,19.79,19.99,63290418
7-Nov-16,19.82,19.99,19.80,19.98,59001803
4-Nov-16,19.56,19.65,19.40,19.49,64891375
3-Nov-16,19.55,19.73,19.52,19.55,53462052
2-Nov-16,19.62,19.63,19.44,19.53,66529874
1-Nov-16,19.81,19.86,19.50,19.66,62758908
31-Oct-16,19.87,19.87,19.74,19.74,38579109
28-Oct-16,19.90,19.92,19.62,19.77,55749883
27-Oct-16,19.92,19.95,19.77,19.86,45545849
26-Oct-16,19.60,19.84,19.58,19.81,40419157
25-Oct-16,19.75,19.76,19.64,19.69,36177841
24-Oct-16,19.74,19.81,19.70,19.71,33808676
21-Oct-16,19.50,19.67,19.47,19.65,39543061
20-Oct-16,19.64,19.78,19.58,19.66,56238168
19-Oct-16,19.55,19.71,19.53,19.66,49835923
18-Oct-16,19.53,19.55,19.41,19.49,45958713
17-Oct-16,19.43,19.47,19.28,19.33,41236064
14-Oct-16,19.56,19.62,19.36,19.42,76176507
13-Oct-16,19.36,19.37,19.11,19.33,73171091
12-Oct-16,19.52,19.65,19.49,19.52,51378746
11-Oct-16,19.66,19.72,19.41,19.54,78581159
10-Oct-16,19.72,19.81,19.70,19.72,37997419
7-Oct-16,19.55,19.66,19.49,19.62,55532849
6-Oct-16,19.65,19.66,19.46,19.63,53337261
5-Oct-16,19.37,19.64,19.34,19.60,58651881
4-Oct-16,19.26,19.43,19.19,19.29,68471721
3-Oct-16,19.24,19.31,19.16,19.21,33170494
30-Sep-16,19.14,19.40,19.11,19.30,47336889
29-Sep-16,19.30,19.40,18.94,19.04,62580775
28-Sep-16,19.30,19.34,19.12,19.31,42936410
27-Sep-16,19.00,19.24,18.94,19.22,47620011
26-Sep-16,19.26,19.27,19.02,19.07,54188999
23-Sep-16,19.41,19.51,19.35,19.38,59009524
22-Sep-16,19.54,19.56,19.44,19.48,38355740
21-Sep-16,19.41,19.46,19.25,19.44,64029726
20-Sep-16,19.45,19.48,19.29,19.32,39903177
19-Sep-16,19.35,19.45,19.23,19.31,50396136
16-Sep-16,23.75,23.76,23.55,23.62,61117567
15-Sep-16,23.77,24.03,23.72,23.96,62132889
14-Sep-16,23.88,24.04,23.75,23.82,67324760
13-Sep-16,24.03,24.09,23.79,23.88,67612411
12-Sep-16,23.93,24.40,23.82,24.31,70798636
9-Sep-16,24.36,24.44,24.04,24.04,54002281
8-Sep-16,24.52,24.59,24.45,24.50,58542690
7-Sep-16,24.44,24.55,24.39,24.52,31414344
6-Sep-16,24.56,24.60,24.34,24.53,48984520
2-Sep-16,24.49,24.64,24.46,24.57,54360950
1-Sep-16,24.62,24.64,24.27,24.46,51145757
31-Aug-16,24.55,24.58,24.36,24.56,45805079
30-Aug-16,24.36,24.54,24.33,24.54,31973297
29-Aug-16,24.17,24.41,24.14,24.32,32860681
26-Aug-16,24.15,24.28,23.96,24.11,52764703
25-Aug-16,24.00,24.12,23.97,24.08,22136176
24-Aug-16,24.05,24.11,23.97,24.03,19739414
23-Aug-16,24.10,24.16,24.04,24.04,24253026
22-Aug-16,23.97,24.03,23.91,24.01,26415478
19-Aug-16,23.95,24.03,23.86,24.01,25597171
18-Aug-16,24.00,24.07,23.95,24.02,21604389
17-Aug-16,23.96,24.05,23.90,24.04,20858308
16-Aug-16,23.98,24.02,23.90,23.96,22451168
15-Aug-16,23.95,24.04,23.93,24.02,21345203
12-Aug-16,23.77,23.90,23.76,23.86,23445558
11-Aug-16,23.93,23.99,23.84,23.93,20422059
10-Aug-16,24.05,24.09,23.84,23.88,27250393
9-Aug-16,24.04,24.11,24.01,24.07,26190113
8-Aug-16,24.09,24.12,23.98,24.05,36571752
5-Aug-16,23.82,24.02,23.75,24.02,41870305
4-Aug-16,23.61,23.65,23.52,23.57,25477863
3-Aug-16,23.39,23.64,23.39,23.63,27222962
2-Aug-16,23.52,23.61,23.33,23.39,32257914
1-Aug-16,23.67,23.77,23.54,23.59,32014441
29-Jul-16,23.60,23.76,23.60,23.65,44224672
28-Jul-16,23.58,23.74,23.50,23.69,26808592
