Exchange	Symbol	Name	Industry	Sector	Cap, mln	Last	Change	Change, %	Volume
NYSE	BAC	Bank of America Corporation	Money Center Banks	Financial	229,183	23.01	0.08	0.3	161,423,405
NYSE	XLF	Financial Select Sector SPDR	Exchange Traded Fund	Financial	12,295	23.51	0.13	0.6	72,324,355
NYSE	SPY	SPDRs	Exchange Traded Fund	Financial	194,141	227.05	0.52	0.2	62,353,614
NYSE	WPX	WPX Energy, Inc.	Independent Oil & Gas	Basic Materials	5,129	13.72	-0.06	-0.4	56,239,433
NYSE	JNUG	Direxion Daily Junior Gold Mine	Exchange Traded Fund	Financial		8.37	0.08	1.0	54,725,096
NYSE	NUGT	Direxion Daily Gold Miners Bull 3X Shrs	Exchange Traded Fund	Financial		9.70	0.15	1.6	50,239,676
NYSE	GDX	Market Vectors Gold Miners ETF	Exchange Traded Fund	Financial	9,941	22.74	0.12	0.5	48,790,496
NYSE	FTI	FMC Technologies, Inc.	Oil & Gas Equipment & Services	Basic Materials	8,216	35.85	-0.15	-0.4	40,521,257
NYSE	WFC	Wells Fargo & Company	Money Center Banks	Financial	279,993	55.31	0.81	1.5	37,205,900
NYSE	VXX	iPath S&P 500 VIX Short-Term Futures ETN	Exchange Traded Fund	Financial		21.45	0.05	0.2	35,453,221
NASDAQ	TBIO	Transgenomic Inc.	Scientific & Technical Instruments	Technology	9	0.98	-0.14	-12.5	63,395,191
NASDAQ	DRYS	DryShips, Inc.	Shipping	Services	3	1.87	0.03	1.6	40,457,242
NASDAQ	AMD	Advanced Micro Devices, Inc.	Semiconductor - Broad Line	Technology	10,492	10.58	-0.18	-1.7	38,339,063
NASDAQ	AAPL	Apple Inc.	Personal Computers	Technology	628,733	119.04	-0.21	-0.2	25,938,325
NASDAQ	SIRI	SIRIUS XM Radio Inc.	Broadcasting - Radio	Services	21,905	4.61	0.03	0.7	25,408,123
NASDAQ	FB	Facebook, Inc.	Internet Information Providers	Technology	355,688	128.34	1.72	1.4	24,838,985
NASDAQ	MSFT	Microsoft Corporation	Application Software	Technology	488,603	62.70	0.09	0.1	19,350,503
NASDAQ	RNVA	Rennova Health Inc.	Software	Technology	10	0.095	-0.005	-5.0	18,216,181
NASDAQ	CSCO	Cisco Systems, Inc.	Networking & Communication Devices	Technology	151,747	30.07	0.03	0.10	15,827,645
TSX	BTO.TO	B2Gold Corp.	Gold	Basic Materials	2,962	3.64	0.03	0.8	6,480,000
TSX	MGA.TO	Mega Uranium Ltd.	Industrial Metals & Minerals	Basic Materials	42	0.24	0.02	9.1	5,740,000
TSX	NXE.TO	Nexgen Energy Ltd			704	3.33	0.16	5.0	5,450,000
TSX	IVN.TO	Ivanhoe Mines Ltd	Industrial Metals & Minerals	Basic Materials	2,166	3.35	0.31	10.2	5,350,000
TSX	YRI.TO	Yamana Gold, Inc.	Gold	Basic Materials	3,724	4.17	0.06	1.5	5,280,000
