<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
US2.AAPL,0,12/12/16,09:30:00,113.290000000,100
US2.AAPL,0,12/12/16,09:30:00,113.250000000,100
US2.AAPL,0,12/12/16,09:30:00,113.240000000,100
US2.AAPL,0,12/12/16,09:30:00,113.310000000,100
US2.AAPL,0,12/12/16,09:30:00,113.310000000,100
US2.AAPL,0,12/12/16,09:30:00,113.310000000,100
US2.AAPL,0,12/12/16,09:30:00,113.260000000,100
US2.AAPL,0,12/12/16,09:30:00,113.260000000,100
US2.AAPL,0,12/12/16,09:30:00,113.240000000,100
US2.AAPL,0,12/12/16,09:30:00,113.240000000,100
US2.AAPL,0,12/12/16,09:30:00,113.270000000,100
US2.AAPL,0,12/12/16,09:30:00,113.270000000,100
US2.AAPL,0,12/12/16,09:30:01,113.260000000,100
US2.AAPL,0,12/12/16,09:30:01,113.200000000,300
US2.AAPL,0,12/12/16,09:30:01,113.200000000,100
US2.AAPL,0,12/12/16,09:30:01,113.240000000,100
US2.AAPL,0,12/12/16,09:30:01,113.280000000,100
US2.AAPL,0,12/12/16,09:30:02,113.250000000,100
US2.AAPL,0,12/12/16,09:30:02,113.250000000,100
US2.AAPL,0,12/12/16,09:30:03,113.210000000,100
US2.AAPL,0,12/12/16,09:30:03,113.210000000,100
US2.AAPL,0,12/12/16,09:30:04,113.210000000,100
US2.AAPL,0,12/12/16,09:30:04,113.230000000,100
US2.AAPL,0,12/12/16,09:30:05,113.230000000,100
US2.AAPL,0,12/12/16,09:30:08,113.200000000,100
US2.AAPL,0,12/12/16,09:30:08,113.210000000,100
US2.AAPL,0,12/12/16,09:30:08,113.200000000,100
US2.AAPL,0,12/12/16,09:30:08,113.200000000,100
US2.AAPL,0,12/12/16,09:30:08,113.210000000,100
US2.AAPL,0,12/12/16,09:30:10,113.210000000,100
US2.AAPL,0,12/12/16,09:30:10,113.220000000,100
US2.AAPL,0,12/12/16,09:30:11,113.220000000,100
US2.AAPL,0,12/12/16,09:30:11,113.230000000,100
US2.AAPL,0,12/12/16,09:30:11,113.230000000,400
US2.AAPL,0,12/12/16,09:30:11,113.220000000,100
US2.AAPL,0,12/12/16,09:30:12,113.220000000,100
US2.AAPL,0,12/12/16,09:30:18,113.160000000,253
US2.AAPL,0,12/12/16,09:30:18,113.160000000,283
US2.AAPL,0,12/12/16,09:30:18,113.160000000,100
US2.AAPL,0,12/12/16,09:30:19,113.160000000,200
US2.AAPL,0,12/12/16,09:30:19,113.160000000,100
US2.AAPL,0,12/12/16,09:30:20,113.160000000,100
US2.AAPL,0,12/12/16,09:30:20,113.150000000,491
US2.AAPL,0,12/12/16,09:30:20,113.150000000,300
US2.AAPL,0,12/12/16,09:30:20,113.160000000,100
US2.AAPL,0,12/12/16,09:30:21,113.170000000,100
US2.AAPL,0,12/12/16,09:30:21,113.170000000,200
US2.AAPL,0,12/12/16,09:30:25,113.170000000,100
US2.AAPL,0,12/12/16,09:30:25,113.180000000,100
US2.AAPL,0,12/12/16,09:30:25,113.180000000,1000
US2.AAPL,0,12/12/16,09:30:26,113.160000000,100
US2.AAPL,0,12/12/16,09:30:26,113.160000000,100
US2.AAPL,0,12/12/16,09:30:28,113.140000000,100
US2.AAPL,0,12/12/16,09:30:28,113.140000000,300
US2.AAPL,0,12/12/16,09:30:29,113.140000000,300
US2.AAPL,0,12/12/16,09:30:33,113.150000000,399
US2.AAPL,0,12/12/16,09:30:37,113.150000000,100
US2.AAPL,0,12/12/16,09:30:37,113.150000000,200
US2.AAPL,0,12/12/16,09:30:38,113.150000000,100
US2.AAPL,0,12/12/16,09:30:38,113.130000000,100
US2.AAPL,0,12/12/16,09:30:38,113.130000000,100
US2.AAPL,0,12/12/16,09:30:38,113.130000000,100
US2.AAPL,0,12/12/16,09:30:38,113.130000000,100
