<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
US2.CSCO,0,12/12/16,09:30:00,30.140000000,170
US2.CSCO,0,12/12/16,09:30:00,30.140000000,100
US2.CSCO,0,12/12/16,09:30:00,30.170000000,100
US2.CSCO,0,12/12/16,09:30:00,30.170000000,100
US2.CSCO,0,12/12/16,09:30:00,30.170000000,100
US2.CSCO,0,12/12/16,09:30:00,30.170000000,200
US2.CSCO,0,12/12/16,09:30:02,30.140000000,100
US2.CSCO,0,12/12/16,09:30:03,30.180000000,100
US2.CSCO,0,12/12/16,09:30:21,30.140000000,100
US2.CSCO,0,12/12/16,09:30:22,30.150000000,681
US2.CSCO,0,12/12/16,09:30:25,30.150000000,100
US2.CSCO,0,12/12/16,09:30:41,30.140000000,300
US2.CSCO,0,12/12/16,09:30:41,30.140000000,100
US2.CSCO,0,12/12/16,09:30:41,30.140000000,400
US2.CSCO,0,12/12/16,09:30:41,30.140000000,480
US2.CSCO,0,12/12/16,09:30:44,30.150000000,100
US2.CSCO,0,12/12/16,09:30:44,30.150000000,100
US2.CSCO,0,12/12/16,09:30:51,30.160000000,100
US2.CSCO,0,12/12/16,09:30:54,30.170000000,185
US2.CSCO,0,12/12/16,09:30:54,30.170000000,170
US2.CSCO,0,12/12/16,09:31:16,30.160000000,100
US2.CSCO,0,12/12/16,09:31:16,30.160000000,100
US2.CSCO,0,12/12/16,09:31:38,30.150000000,100
US2.CSCO,0,12/12/16,09:31:44,30.150000000,100
US2.CSCO,0,12/12/16,09:31:47,30.150000000,100
US2.CSCO,0,12/12/16,09:31:47,30.150000000,200
US2.CSCO,0,12/12/16,09:31:50,30.150000000,100
US2.CSCO,0,12/12/16,09:31:50,30.150000000,100
US2.CSCO,0,12/12/16,09:31:50,30.150000000,100
US2.CSCO,0,12/12/16,09:31:50,30.150000000,100
US2.CSCO,0,12/12/16,09:31:54,30.160000000,100
US2.CSCO,0,12/12/16,09:31:54,30.160000000,200
US2.CSCO,0,12/12/16,09:31:57,30.160000000,100
US2.CSCO,0,12/12/16,09:31:57,30.160000000,300
US2.CSCO,0,12/12/16,09:31:59,30.150000000,200
US2.CSCO,0,12/12/16,09:32:00,30.150000000,100
US2.CSCO,0,12/12/16,09:32:00,30.150000000,100
US2.CSCO,0,12/12/16,09:32:00,30.160000000,100
US2.CSCO,0,12/12/16,09:32:04,30.160000000,100
US2.CSCO,0,12/12/16,09:32:27,30.160000000,100
US2.CSCO,0,12/12/16,09:32:29,30.150000000,100
US2.CSCO,0,12/12/16,09:32:31,30.150000000,100
US2.CSCO,0,12/12/16,09:32:37,30.150000000,100
US2.CSCO,0,12/12/16,09:32:37,30.150000000,100
US2.CSCO,0,12/12/16,09:32:37,30.150000000,100
US2.CSCO,0,12/12/16,09:32:41,30.150000000,200
US2.CSCO,0,12/12/16,09:32:41,30.150000000,100
