<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
US.BAC,0,12/12/16,09:30:00,23.000000000,200
US.BAC,0,12/12/16,09:30:00,23.000000000,300
US.BAC,0,12/12/16,09:30:00,23.000000000,100
US.BAC,0,12/12/16,09:30:01,23.020000000,100
US.BAC,0,12/12/16,09:30:01,23.020000000,200
US.BAC,0,12/12/16,09:30:01,23.020000000,100
US.BAC,0,12/12/16,09:30:01,23.020000000,300
US.BAC,0,12/12/16,09:30:02,23.030000000,100
US.BAC,0,12/12/16,09:30:02,23.030000000,300
US.BAC,0,12/12/16,09:30:03,23.030000000,200
US.BAC,0,12/12/16,09:30:03,23.030000000,200
US.BAC,0,12/12/16,09:30:03,23.030000000,100
US.BAC,0,12/12/16,09:30:03,23.030000000,100
US.BAC,0,12/12/16,09:30:03,23.030000000,300
US.BAC,0,12/12/16,09:30:05,23.030000000,100
US.BAC,0,12/12/16,09:30:05,23.030000000,300
US.BAC,0,12/12/16,09:30:05,23.030000000,218
US.BAC,0,12/12/16,09:30:08,23.040000000,200
US.BAC,0,12/12/16,09:30:08,23.040000000,500
US.BAC,0,12/12/16,09:30:08,23.040000000,100
US.BAC,0,12/12/16,09:30:08,23.030000000,100
US.BAC,0,12/12/16,09:30:08,23.030000000,100
US.BAC,0,12/12/16,09:30:09,23.040000000,100
US.BAC,0,12/12/16,09:30:09,23.040000000,100
US.BAC,0,12/12/16,09:30:09,23.040000000,100
US.BAC,0,12/12/16,09:30:09,23.040000000,100
US.BAC,0,12/12/16,09:30:09,23.040000000,100
US.BAC,0,12/12/16,09:30:09,23.040000000,100
US.BAC,0,12/12/16,09:30:10,23.040000000,100
US.BAC,0,12/12/16,09:30:10,23.040000000,100
US.BAC,0,12/12/16,09:30:10,23.040000000,100
US.BAC,0,12/12/16,09:30:10,23.040000000,200
US.BAC,0,12/12/16,09:30:10,23.040000000,100
US.BAC,0,12/12/16,09:30:10,23.040000000,100
US.BAC,0,12/12/16,09:30:10,23.040000000,100
US.BAC,0,12/12/16,09:30:10,23.040000000,100
US.BAC,0,12/12/16,09:30:10,23.040000000,100
US.BAC,0,12/12/16,09:30:11,23.045000000,300
US.BAC,0,12/12/16,09:30:11,23.040000000,500
US.BAC,0,12/12/16,09:30:11,23.040000000,4300
US.BAC,0,12/12/16,09:30:11,23.040000000,100
US.BAC,0,12/12/16,09:30:11,23.040000000,300
US.BAC,0,12/12/16,09:30:11,23.035000000,100
