<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
US1.WFC,0,12/12/16,09:30:03,56.530000000,200
US1.WFC,0,12/12/16,09:30:08,56.560000000,100
US1.WFC,0,12/12/16,09:30:09,56.560000000,100
US1.WFC,0,12/12/16,09:30:15,56.620000000,300
US1.WFC,0,12/12/16,09:30:25,56.600000000,1200
US1.WFC,0,12/12/16,09:30:25,56.600000000,2767
US1.WFC,0,12/12/16,09:30:29,56.640000000,200
US1.WFC,0,12/12/16,09:31:11,56.680000000,100
US1.WFC,0,12/12/16,09:31:11,56.680000000,100
US1.WFC,0,12/12/16,09:31:11,56.680000000,100
US1.WFC,0,12/12/16,09:31:11,56.680000000,100
US1.WFC,0,12/12/16,09:31:11,56.680000000,100
US1.WFC,0,12/12/16,09:31:11,56.690000000,100
US1.WFC,0,12/12/16,09:31:11,56.690000000,200
US1.WFC,0,12/12/16,09:31:11,56.670000000,268
US1.WFC,0,12/12/16,09:31:11,56.670000000,200
US1.WFC,0,12/12/16,09:31:11,56.670000000,200
US1.WFC,0,12/12/16,09:31:11,56.670000000,100
US1.WFC,0,12/12/16,09:31:12,56.690000000,100
US1.WFC,0,12/12/16,09:31:13,56.700000000,400
US1.WFC,0,12/12/16,09:31:13,56.700000000,100
US1.WFC,0,12/12/16,09:31:13,56.730000000,100
US1.WFC,0,12/12/16,09:31:13,56.750000000,100
US1.WFC,0,12/12/16,09:31:14,56.740000000,200
US1.WFC,0,12/12/16,09:31:15,56.740000000,400
US1.WFC,0,12/12/16,09:31:15,56.750000000,300
US1.WFC,0,12/12/16,09:31:16,56.750000000,100
US1.WFC,0,12/12/16,09:31:16,56.740000000,100
US1.WFC,0,12/12/16,09:31:16,56.740000000,100
US1.WFC,0,12/12/16,09:31:16,56.740000000,200
US1.WFC,0,12/12/16,09:31:17,56.730000000,100
US1.WFC,0,12/12/16,09:31:17,56.720000000,100
US1.WFC,0,12/12/16,09:31:17,56.720000000,100
US1.WFC,0,12/12/16,09:31:17,56.710000000,400
US1.WFC,0,12/12/16,09:31:17,56.730000000,100
US1.WFC,0,12/12/16,09:31:17,56.730000000,100
US1.WFC,0,12/12/16,09:31:18,56.690000000,100
US1.WFC,0,12/12/16,09:31:18,56.660000000,100
US1.WFC,0,12/12/16,09:31:19,56.670000000,100
US1.WFC,0,12/12/16,09:31:19,56.660000000,100
US1.WFC,0,12/12/16,09:31:19,56.650000000,100
US1.WFC,0,12/12/16,09:31:19,56.640000000,100
US1.WFC,0,12/12/16,09:31:19,56.640000000,100
US1.WFC,0,12/12/16,09:31:19,56.650000000,100
US1.WFC,0,12/12/16,09:31:19,56.670000000,100
US1.WFC,0,12/12/16,09:31:19,56.670000000,100
US1.WFC,0,12/12/16,09:31:19,56.640000000,200
US1.WFC,0,12/12/16,09:31:20,56.620000000,100
US1.WFC,0,12/12/16,09:31:20,56.630000000,100
US1.WFC,0,12/12/16,09:31:20,56.660000000,197
US1.WFC,0,12/12/16,09:31:20,56.660000000,1003
US1.WFC,0,12/12/16,09:31:20,56.660000000,197
US1.WFC,0,12/12/16,09:31:20,56.660000000,603
US1.WFC,0,12/12/16,09:31:26,56.650000000,100
US1.WFC,0,12/12/16,09:31:26,56.650000000,200
US1.WFC,0,12/12/16,09:31:26,56.690000000,300
US1.WFC,0,12/12/16,09:31:27,56.700000000,500
US1.WFC,0,12/12/16,09:31:27,56.710000000,500
US1.WFC,0,12/12/16,09:31:32,56.730000000,300
US1.WFC,0,12/12/16,09:31:32,56.720000000,152
US1.WFC,0,12/12/16,09:31:32,56.720000000,148
US1.WFC,0,12/12/16,09:31:32,56.720000000,100
US1.WFC,0,12/12/16,09:31:32,56.730000000,100
US1.WFC,0,12/12/16,09:31:32,56.720000000,100
US1.WFC,0,12/12/16,09:31:32,56.725000000,100
US1.WFC,0,12/12/16,09:31:32,56.720000000,200
US1.WFC,0,12/12/16,09:31:32,56.740000000,100
US1.WFC,0,12/12/16,09:31:32,56.740000000,100
US1.WFC,0,12/12/16,09:31:32,56.740000000,100
US1.WFC,0,12/12/16,09:31:33,56.740000000,100
US1.WFC,0,12/12/16,09:31:33,56.740000000,100
US1.WFC,0,12/12/16,09:31:33,56.740000000,100
US1.WFC,0,12/12/16,09:31:33,56.740000000,100
US1.WFC,0,12/12/16,09:31:40,56.700000000,100
